zoo,scientificName,commonName,givenName,gender,dateOfBirth,age,isTransportable
Toronto Zoo,Caiman crocodilus,Spectacled caiman,Billye,Female,2021-12-10,44,true
Edmonton Zoo,Butorides striatus,Green heron,Kaspar,Male,2022-10-28,55,false
Washington Zoo,Potamochoerus porcus,Bushpig,Prissie,Female,2021-07-01,28,true
Edmonton Zoo,Tringa glareola,"Sandpiper, spotted wood",Englebert,Male,2021-11-01,80,false
Toronto Zoo,Bubalornis niger,"Weaver, red-billed buffalo",Demetri,Male,2024-03-10,29,true
Washington Zoo,Spizaetus coronatus,"Hawk-eagle, crowned",Coleen,Female,2023-08-23,47,true
Washington Zoo,Papio ursinus,Chacma baboon,Reggie,Female,2023-10-16,53,false
Washington Zoo,Sarkidornis melanotos,Comb duck,Genovera,Female,2021-05-19,49,true
Toronto Zoo,Papio ursinus,Chacma baboon,Chas,Male,2022-05-26,23,true
Vancouver Zoo,Aonyx capensis,Cape clawless otter,Keenan,Male,2022-02-28,69,false
Edmonton Zoo,Parus atricapillus,Black-capped chickadee,Sibbie,Female,2021-05-21,37,true
Washington Zoo,Orcinus orca,Orca,Harald,Male,2023-01-30,45,true
Washington Zoo,Ciconia ciconia,White stork,Olia,Female,2023-08-29,54,true
Washington Zoo,Rhea americana,"Rhea, common",Aggi,Female,2023-07-16,53,false
Vancouver Zoo,unavailable,Cormorant (unidentified),Sula,Female,2021-03-30,22,false
Edmonton Zoo,Ciconia episcopus,White-necked stork,Kris,Female,2021-10-19,79,false
Toronto Zoo,Macropus robustus,Common wallaroo,Karil,Female,2021-08-16,80,false
Vancouver Zoo,Globicephala melas,Long-finned pilot whale,Linoel,Male,2024-01-03,45,false
Edmonton Zoo,Oxybelis fulgidus,"Snake, green vine",Cortie,Male,2023-08-23,59,false
Edmonton Zoo,Mazama americana,"Brocket, red",Iain,Male,2022-03-12,62,true
Vancouver Zoo,Pelecanus conspicillatus,Australian pelican,Fremont,Male,2023-12-23,46,true
Edmonton Zoo,Bettongia penicillata,Brush-tailed rat kangaroo,Lina,Female,2022-02-26,42,false
Edmonton Zoo,Egretta thula,"Egret, snowy",Maren,Female,2024-02-15,65,true
Toronto Zoo,Panthera leo,"Lion, african",Godiva,Female,2021-08-21,60,true
Toronto Zoo,Paraxerus cepapi,Grey-footed squirrel,Wilburt,Male,2020-12-22,53,true
Vancouver Zoo,Genetta genetta,Small-spotted genet,Eleanore,Female,2022-01-19,64,false
Edmonton Zoo,Falco mexicanus,"Falcon, prairie",Corie,Female,2021-05-13,37,true
Vancouver Zoo,Crotaphytus collaris,"Lizard, collared",Bathsheba,Female,2021-12-07,53,false
Washington Zoo,Agkistrodon piscivorus,Water moccasin,Monro,Male,2021-07-01,52,false
Edmonton Zoo,Pytilia melba,"Finch, common melba",Briny,Female,2021-01-07,79,false
Washington Zoo,Francolinus swainsonii,"Francolin, swainson's",Amity,Female,2022-11-17,59,false
Washington Zoo,Geochelone elephantopus,Galapagos tortoise,Dido,Female,2023-03-23,54,false
Washington Zoo,Priodontes maximus,"Armadillo, giant",Alix,Female,2024-02-15,77,true
Vancouver Zoo,Rhea americana,"Rhea, greater",Rozamond,Female,2023-07-14,68,true
Edmonton Zoo,Mycteria ibis,"Stork, yellow-billed",Tab,Male,2023-04-20,64,true
Washington Zoo,Casmerodius albus,Great egret,Bastien,Male,2022-02-05,30,false
Vancouver Zoo,Castor fiber,European beaver,Denney,Male,2023-10-10,36,true
Vancouver Zoo,Ovis canadensis,American bighorn sheep,Noelle,Female,2023-10-11,39,false
Washington Zoo,Branta canadensis,Canada goose,Steward,Male,2023-07-16,42,true
Washington Zoo,Leprocaulinus vipera,Stick insect,Ragnar,Male,2022-04-01,67,true
Washington Zoo,Neotoma sp.,Woodrat (unidentified),Omero,Male,2020-12-05,74,false
Toronto Zoo,Ardea cinerea,"Heron, gray",Denys,Male,2023-06-11,55,true
Edmonton Zoo,Vulpes chama,Silver-backed fox,Josias,Male,2023-01-08,75,false
Washington Zoo,Salvadora hexalepis,Western patch-nosed snake,Lemar,Male,2022-01-14,27,true
Toronto Zoo,Felis rufus,Bobcat,Wilton,Male,2023-08-16,22,false
Washington Zoo,Coracias caudata,"Roller, lilac-breasted",Flora,Female,2022-06-01,63,true
Edmonton Zoo,Sciurus niger,Eastern fox squirrel,Erroll,Male,2024-02-26,41,false
Edmonton Zoo,Cygnus buccinator,Trumpeter swan,Isidore,Male,2022-10-25,65,false
Vancouver Zoo,Grus canadensis,"Crane, sandhill",Cati,Female,2023-11-13,41,false
Washington Zoo,unavailable,Butterfly (unidentified),Maryrose,Female,2021-03-22,53,false
Edmonton Zoo,Alopochen aegyptiacus,Egyptian goose,Lilian,Female,2023-01-19,60,true
Edmonton Zoo,Ardea golieth,"Heron, goliath",Brittaney,Female,2024-01-25,24,false
Edmonton Zoo,unavailable,Malay squirrel (unidentified),Denise,Female,2023-12-02,18,false
Washington Zoo,Pteronura brasiliensis,Brazilian otter,Alfonso,Male,2022-02-28,30,true
Edmonton Zoo,Agkistrodon piscivorus,Water moccasin,Paulina,Female,2024-03-15,59,false
Edmonton Zoo,Bubalus arnee,"Buffalo, wild water",Ashley,Male,2024-02-16,23,false
Washington Zoo,Bison bison,American bison,Angie,Male,2022-09-05,27,true
Toronto Zoo,Spermophilus lateralis,Golden-mantled ground squirrel,Cordell,Male,2023-10-10,34,true
Edmonton Zoo,Snycerus caffer,African buffalo,Jodee,Female,2022-10-10,67,false
Edmonton Zoo,Megaderma spasma,Asian false vampire bat,Carl,Male,2022-11-02,45,false
Vancouver Zoo,Suricata suricatta,Meerkat,Shayne,Male,2023-08-17,70,false
Vancouver Zoo,Dasypus septemcincus,Seven-banded armadillo,Ekaterina,Female,2021-09-21,75,true
Edmonton Zoo,unavailable,Butterfly (unidentified),Luisa,Female,2022-01-06,63,true
Vancouver Zoo,Nesomimus trifasciatus,Galapagos mockingbird,Rooney,Male,2023-08-11,61,true
Edmonton Zoo,Tiliqua scincoides,Blue-tongued lizard,Kerrill,Female,2021-12-08,65,true
Toronto Zoo,Cebus albifrons,White-fronted capuchin,Solly,Male,2022-05-25,28,false
Toronto Zoo,Snycerus caffer,"Buffalo, african",Jerald,Male,2021-02-14,35,false
Toronto Zoo,Sagittarius serpentarius,Secretary bird,Alyss,Female,2023-07-23,54,false
Vancouver Zoo,Gymnorhina tibicen,"Magpie, black-backed",Nert,Female,2022-09-05,56,true
Edmonton Zoo,Ephippiorhynchus mycteria,Black-necked stork,Florencia,Female,2022-01-27,51,true
Edmonton Zoo,Ninox superciliaris,Madagascar hawk owl,Leonardo,Male,2023-06-25,67,false
Vancouver Zoo,Meles meles,European badger,Maudie,Female,2024-02-01,25,false
Edmonton Zoo,Damaliscus dorcas,Bontebok,Carver,Male,2021-06-15,41,true
Edmonton Zoo,Anthropoides paradisea,"Crane, blue",Wilhelmine,Female,2021-01-23,74,true
Washington Zoo,Bubalus arnee,"Buffalo, asian water",Phyllys,Female,2022-04-28,42,true
Vancouver Zoo,Lasiorhinus latifrons,Southern hairy-nosed wombat,Zacharie,Male,2022-10-16,73,true
Washington Zoo,Giraffe camelopardalis,Giraffe,Mildrid,Female,2024-02-07,41,true
Washington Zoo,Castor fiber,European beaver,Elle,Female,2023-03-28,45,true
Toronto Zoo,Tauraco porphyrelophus,"Turaco, violet-crested",Desmund,Male,2023-10-03,70,false
Washington Zoo,unavailable,Old world fruit bat (unidentified),Kalie,Female,2023-02-11,36,true
Edmonton Zoo,Diceros bicornis,"Rhinoceros, black",Sawyere,Male,2022-07-04,68,false
Edmonton Zoo,Terrapene carolina,"Turtle, eastern box",Eamon,Male,2021-09-08,62,false
Toronto Zoo,Ara ararauna,Blue and yellow macaw,Dominique,Female,2021-11-28,32,true
Vancouver Zoo,Macropus agilis,Agile wallaby,Abramo,Male,2021-12-10,55,false
Washington Zoo,Psittacula krameri,"Parakeet, rose-ringed",Phylis,Female,2021-10-05,23,false
Vancouver Zoo,Thalasseus maximus,"Tern, royal",Burtie,Male,2023-01-20,33,false
Washington Zoo,Thylogale stigmatica,"Pademelon, red-legged",Peirce,Male,2023-11-22,56,true
Toronto Zoo,Uraeginthus bengalus,Red-cheeked cordon bleu,Lilly,Female,2022-01-31,32,false
Toronto Zoo,Ictonyx striatus,Zorilla,Dolorita,Female,2024-04-05,68,false
Vancouver Zoo,Dusicyon thous,"Fox, savanna",Ephrem,Male,2023-10-21,78,true
Washington Zoo,Crotalus adamanteus,Eastern diamondback rattlesnake,Germaine,Female,2023-06-05,67,true
Washington Zoo,Eolophus roseicapillus,Red-breasted cockatoo,Dwain,Male,2023-08-21,38,false
Edmonton Zoo,Cercatetus concinnus,"Possum, western pygmy",Sherm,Male,2021-01-16,65,false
Vancouver Zoo,Ictalurus furcatus,"Catfish, blue",Alayne,Female,2021-02-02,52,false
Toronto Zoo,Hystrix cristata,Crested porcupine,Jenna,Female,2021-07-27,77,false
Vancouver Zoo,Rhea americana,"Rhea, gray",Baryram,Male,2022-01-30,73,true
Toronto Zoo,Plectopterus gambensis,"Goose, spur-winged",Loralie,Female,2023-06-23,26,false
Washington Zoo,Cereopsis novaehollandiae,"Goose, cape barren",Glori,Female,2022-10-13,63,false
Toronto Zoo,Lemur fulvus,Brown lemur,Elaine,Female,2021-12-22,76,false
Toronto Zoo,Papilio canadensis,Canadian tiger swallowtail butterfly,Modesty,Female,2022-08-08,28,false
Toronto Zoo,Lasiorhinus latifrons,Southern hairy-nosed wombat,Thomas,Male,2023-10-22,29,true
Edmonton Zoo,Coendou prehensilis,"Porcupine, tree",Nedda,Female,2022-03-07,26,false
Edmonton Zoo,Taurotagus oryx,Common eland,Tom,Male,2023-08-26,60,false
Toronto Zoo,Corythornis cristata,Malachite kingfisher,Ted,Female,2021-06-03,66,true
Edmonton Zoo,Nectarinia chalybea,"Sunbird, lesser double-collared",Aleen,Female,2021-03-10,18,true
Toronto Zoo,Lycaon pictus,African wild dog,Sue,Female,2021-09-15,38,false
Toronto Zoo,Larus novaehollandiae,Silver gull,Munroe,Male,2021-01-31,60,false
Washington Zoo,Choriotis kori,"Bustard, kori",Georgina,Female,2024-03-11,70,true
Vancouver Zoo,Felis silvestris lybica,"Cat, african wild",Jayne,Female,2023-03-02,68,true
Edmonton Zoo,Petaurus breviceps,Sugar glider,Kayne,Male,2023-12-03,28,true
Vancouver Zoo,Paraxerus cepapi,African bush squirrel,Sasha,Male,2021-08-15,39,false
Vancouver Zoo,Agelaius phoeniceus,Red-winged blackbird,Kurt,Male,2023-06-10,47,true
Toronto Zoo,Vulpes vulpes,"Fox, asian red",Field,Male,2022-05-19,42,true
Toronto Zoo,Speothos vanaticus,Bush dog,Diann,Female,2021-02-20,68,true
Toronto Zoo,Butorides striatus,Green heron,Godwin,Male,2022-11-10,50,true
Toronto Zoo,Alligator mississippiensis,American alligator,Analise,Female,2022-11-09,32,false
Edmonton Zoo,Milvus migrans,Black kite,Marco,Male,2022-03-06,39,true
Toronto Zoo,unavailable,Gecko (unidentified),Margit,Female,2022-06-17,65,true
Washington Zoo,Dasyurus maculatus,Spotted-tailed quoll,Paul,Male,2023-10-03,65,true
Toronto Zoo,Seiurus aurocapillus,Ovenbird,Leland,Female,2022-11-05,71,true
Toronto Zoo,Plectopterus gambensis,"Goose, spur-winged",Terrel,Male,2021-10-07,71,false
Washington Zoo,Tetracerus quadricornis,Four-horned antelope,Dorry,Female,2022-10-06,54,true
Toronto Zoo,Kobus defassa,"Waterbuck, common",Annmarie,Female,2020-12-04,23,false
Vancouver Zoo,Macaca mulatta,Rhesus monkey,Raimund,Male,2022-08-30,72,false
Washington Zoo,Agelaius phoeniceus,"Blackbird, red-winged",Michelle,Female,2022-10-08,73,false
Edmonton Zoo,Phaethon aethereus,Red-billed tropic bird,Ryun,Male,2021-09-01,66,false
Toronto Zoo,Spermophilus lateralis,Golden-mantled ground squirrel,Kaile,Female,2021-06-12,71,true
Vancouver Zoo,Panthera onca,Jaguar,Donnie,Male,2022-08-19,47,true
Washington Zoo,Chlamydosaurus kingii,"Lizard, frilled",Edi,Female,2023-04-03,38,true
Washington Zoo,Semnopithecus entellus,Common langur,Patrizio,Male,2022-05-28,21,false
Toronto Zoo,Diceros bicornis,Black rhinoceros,Alanah,Female,2021-07-02,69,true
Vancouver Zoo,Proteles cristatus,Aardwolf,Daniela,Female,2021-01-16,64,false
Toronto Zoo,Didelphis virginiana,American Virginia opossum,Blinni,Female,2024-03-07,29,false
Toronto Zoo,Diomedea irrorata,"Albatross, galapagos",Filmer,Male,2023-04-26,25,true
Washington Zoo,Sciurus vulgaris,Eurasian red squirrel,Sonnie,Female,2023-11-18,27,false
Toronto Zoo,Psittacula krameri,Rose-ringed parakeet,Portie,Male,2021-09-25,21,true
Toronto Zoo,Tadorna tadorna,"Shelduck, european",Yvon,Male,2023-02-01,73,false
Toronto Zoo,Pycnonotus nigricans,Black-fronted bulbul,Ynes,Female,2022-11-12,78,true
Vancouver Zoo,Arctogalidia trivirgata,Small-toothed palm civet,Alvina,Female,2023-11-29,21,true
Vancouver Zoo,Gorilla gorilla,Western lowland gorilla,Northrup,Male,2023-04-29,54,true
Edmonton Zoo,Nesomimus trifasciatus,Galapagos mockingbird,Madge,Female,2022-09-02,55,true
Toronto Zoo,Loxodonta africana,"Elephant, african",Marlow,Male,2022-09-05,54,true
Toronto Zoo,Vulpes chama,"Fox, cape",Lanny,Female,2020-12-14,51,false
Edmonton Zoo,Pseudalopex gymnocercus,"Fox, pampa gray",Niels,Male,2023-03-18,40,true
Edmonton Zoo,Anas bahamensis,Bahama pintail,Simone,Female,2021-07-21,54,true
Edmonton Zoo,Canis mesomelas,"Jackal, black-backed",Orland,Male,2023-01-02,58,false
Vancouver Zoo,Charadrius tricollaris,"Plover, three-banded",Aimee,Female,2022-06-06,80,false
Vancouver Zoo,Zalophus californicus,"Lion, galapagos sea",Rhona,Female,2023-03-28,20,true
Edmonton Zoo,Cyrtodactylus louisiadensis,Bent-toed gecko,Vicki,Female,2022-06-08,77,true
Vancouver Zoo,Eolophus roseicapillus,Red-breasted cockatoo,Gaspar,Male,2022-11-21,63,false
Vancouver Zoo,Axis axis,Chital,Revkah,Female,2023-07-14,80,false
Toronto Zoo,Theropithecus gelada,Gelada baboon,Dominique,Male,2022-09-14,43,true
Edmonton Zoo,Ninox superciliaris,Madagascar hawk owl,Lezley,Male,2024-02-10,59,false
Toronto Zoo,Potorous tridactylus,Potoroo,Leela,Female,2022-01-14,40,true
Toronto Zoo,Cacatua tenuirostris,"Cockatoo, long-billed",Griffie,Male,2023-02-16,48,false
Washington Zoo,Connochaetus taurinus,Brindled gnu,Susette,Female,2024-04-12,39,true
Edmonton Zoo,Grus rubicundus,Brolga crane,Lionello,Male,2024-02-20,37,true
Toronto Zoo,Manouria emys,Asian foreset tortoise,Berkeley,Male,2023-10-15,79,true
Vancouver Zoo,Ramphastos tucanus,"Toucan, red-billed",Rebecca,Female,2021-10-24,31,false
Vancouver Zoo,Ceryle rudis,"Kingfisher, pied",Mattheus,Male,2022-12-16,44,true
Toronto Zoo,Gyps bengalensis,White-rumped vulture,Nickolaus,Male,2021-07-30,53,true
Toronto Zoo,Egretta thula,"Egret, snowy",Erny,Male,2022-05-10,66,true
Vancouver Zoo,Lorythaixoides concolor,Grey lourie,Arie,Male,2024-01-09,48,false
Edmonton Zoo,Gazella thompsonii,"Gazelle, thomson's",Gigi,Female,2023-03-11,61,true
Washington Zoo,Tadorna tadorna,"Shelduck, european",Patrick,Male,2023-11-06,35,true
Toronto Zoo,Butorides striatus,"Heron, striated",Lucio,Male,2022-04-22,52,true
Edmonton Zoo,Eolophus roseicapillus,"Cockatoo, red-breasted",Erda,Female,2021-05-23,61,false
Vancouver Zoo,Sula dactylatra,"Booby, masked",Wolfgang,Male,2021-01-20,59,false
Washington Zoo,Petaurus breviceps,Sugar glider,Haskel,Male,2020-12-02,27,true
Edmonton Zoo,Sauromalus obesus,Chuckwalla,Laurie,Male,2021-07-20,40,false
Vancouver Zoo,Paradoxurus hermaphroditus,Common palm civet,Kelsi,Female,2022-09-02,18,false
Washington Zoo,Phascogale tapoatafa,"Phascogale, brush-tailed",Micheil,Male,2023-07-29,35,true
Edmonton Zoo,Canis lupus lycaon,"Wolf, timber",Durand,Male,2023-11-06,28,true
Washington Zoo,Gymnorhina tibicen,"Magpie, black-backed",Ira,Male,2023-07-25,32,false
Vancouver Zoo,Naja nivea,"Cobra, cape",Darci,Female,2022-09-17,48,true
Washington Zoo,Recurvirostra avosetta,Pied avocet,Michaella,Female,2021-06-28,29,false
Edmonton Zoo,Trichosurus vulpecula,"Possum, golden brush-tailed",Venus,Female,2021-08-25,55,false
Toronto Zoo,Dicrostonyx groenlandicus,"Lemming, collared",Boigie,Male,2023-04-11,41,true
Vancouver Zoo,Cebus albifrons,White-fronted capuchin,Aleen,Female,2023-02-02,26,true
Edmonton Zoo,Tadorna tadorna,"Shelduck, european",Reagen,Male,2022-11-04,67,true
Toronto Zoo,Alligator mississippiensis,American alligator,Haywood,Male,2022-09-01,56,true
Vancouver Zoo,Podargus strigoides,Tawny frogmouth,Elga,Female,2023-08-15,63,false
Toronto Zoo,Sagittarius serpentarius,Secretary bird,Candida,Female,2021-03-29,36,false
Washington Zoo,Falco peregrinus,Peregrine falcon,Lorenzo,Male,2021-08-27,34,true
Toronto Zoo,Fulica cristata,Red-knobbed coot,Ruthann,Female,2020-12-20,28,true
Vancouver Zoo,Cereopsis novaehollandiae,"Goose, cereopsis",Rivy,Female,2022-04-14,76,true
Toronto Zoo,Chordeiles minor,Common nighthawk,Ferrell,Male,2021-02-08,44,false
Vancouver Zoo,Butorides striatus,"Heron, little",Hiram,Male,2023-09-19,67,false
Toronto Zoo,Crotalus adamanteus,Eastern diamondback rattlesnake,Leonidas,Male,2021-10-19,42,true
Vancouver Zoo,Ardea cinerea,"Heron, grey",Odilia,Female,2021-11-23,64,false
Vancouver Zoo,Ceratotherium simum,White rhinoceros,Eulalie,Female,2022-05-31,48,false
Vancouver Zoo,Mustela nigripes,Black-footed ferret,Regina,Female,2023-12-27,35,false
Toronto Zoo,Neotis denhami,"Bustard, stanley",Kellsie,Female,2021-10-07,47,true
Vancouver Zoo,Aquila chrysaetos,"Eagle, golden",Herold,Male,2021-11-24,45,true
Toronto Zoo,Charadrius tricollaris,"Plover, three-banded",Donaugh,Male,2021-07-17,45,true
Toronto Zoo,Ovis orientalis,Urial,Stephani,Female,2023-07-14,27,true
Washington Zoo,Castor canadensis,American beaver,Barnabas,Male,2023-12-15,22,false
Washington Zoo,Sciurus vulgaris,"Squirrel, eurasian red",Marc,Male,2021-12-18,56,true
Washington Zoo,Pan troglodytes,Chimpanzee,Andria,Female,2021-05-07,38,true
Vancouver Zoo,Nasua narica,White-nosed coatimundi,Rockey,Male,2022-10-10,45,false
Edmonton Zoo,Crax sp.,Currasow (unidentified),Gerhardt,Male,2021-12-26,77,false
Toronto Zoo,Colobus guerza,White-mantled colobus,Tremaine,Male,2021-11-08,34,true
Toronto Zoo,Vulpes vulpes,North American red fox,Forbes,Male,2023-09-10,28,true
Washington Zoo,Chauna torquata,"Screamer, crested",Heriberto,Male,2022-06-16,64,false
Edmonton Zoo,Junonia genoveua,Tropical buckeye butterfly,Chick,Male,2022-01-17,80,true
Washington Zoo,Branta canadensis,"Goose, canada",Jarred,Male,2021-09-21,20,false
Edmonton Zoo,Dicrurus adsimilis,Fork-tailed drongo,Fred,Female,2023-05-10,79,true
Vancouver Zoo,Casmerodius albus,Great egret,Celestina,Female,2022-12-16,56,false
Toronto Zoo,Phalaropus lobatus,"Phalarope, red-necked",Susanne,Female,2022-09-30,23,true
Washington Zoo,Canis lupus lycaon,"Wolf, timber",Vasili,Male,2022-01-07,32,true
Washington Zoo,Ciconia ciconia,"Stork, white",Moshe,Male,2023-08-19,67,true
Washington Zoo,Tamiasciurus hudsonicus,Red squirrel,Cam,Male,2023-01-26,35,false
Vancouver Zoo,Colobus guerza,Magistrate black colobus,Emmett,Male,2023-04-03,53,true
Toronto Zoo,Porphyrio porphyrio,"Moorhen, purple",Ceciley,Female,2021-12-07,61,true
Washington Zoo,Tyto novaehollandiae,Australian masked owl,Vernor,Male,2021-11-25,46,true
Vancouver Zoo,Otaria flavescens,Southern sea lion,Jackelyn,Female,2021-04-13,54,false
Vancouver Zoo,Ara ararauna,"Macaw, blue and yellow",Creighton,Male,2023-11-24,38,false
Washington Zoo,Galictis vittata,Grison,Keriann,Female,2023-03-19,53,false
Vancouver Zoo,Sterna paradisaea,Arctic tern,Ursola,Female,2022-06-26,21,false
Washington Zoo,Phalacrocorax varius,"Cormorant, pied",Kristo,Male,2023-08-11,68,true
Vancouver Zoo,Sagittarius serpentarius,Secretary bird,Willetta,Female,2023-11-16,77,true
Vancouver Zoo,Recurvirostra avosetta,"Avocet, pied",Valentino,Male,2024-01-17,72,false
Toronto Zoo,Anthropoides paradisea,Stanley crane,Rayner,Male,2023-01-24,47,false
Washington Zoo,Zenaida galapagoensis,"Dove, galapagos",Ollie,Female,2022-03-26,38,false
Edmonton Zoo,Phacochoerus aethiopus,Warthog,Nevil,Male,2024-03-02,25,false
Vancouver Zoo,Macropus parryi,Whip-tailed wallaby,Karlyn,Female,2023-09-07,25,true
Toronto Zoo,Damaliscus lunatus,Tsessebe,Even,Male,2021-10-14,56,true
Washington Zoo,Echimys chrysurus,White-faced tree rat,Birk,Male,2022-12-20,20,false
Vancouver Zoo,Tragelaphus angasi,Nyala,Bari,Female,2022-10-31,58,true
Washington Zoo,Crocodylus niloticus,"Crocodile, nile",Quinta,Female,2022-08-08,78,false
Edmonton Zoo,Phoenicopterus ruber,Roseat flamingo,Patrice,Male,2024-01-02,46,true
Washington Zoo,Bubo virginianus,"Owl, great horned",Charita,Female,2021-03-08,62,true
Vancouver Zoo,Redunca redunca,Bohor reedbuck,Karyl,Female,2021-08-23,30,false
Vancouver Zoo,Acridotheres tristis,"Mynah, common",Daryle,Male,2021-06-16,61,true
Edmonton Zoo,Grus antigone,Sarus crane,Brook,Male,2024-02-20,67,false
Vancouver Zoo,Felis libyca,"Cat, cape wild",Melly,Female,2023-09-19,42,false
Edmonton Zoo,Graspus graspus,Sally lightfoot crab,Brig,Male,2022-04-06,61,false
Edmonton Zoo,Lamprotornis chalybaeus,Greater blue-eared starling,Emerson,Male,2021-07-13,60,true
Toronto Zoo,Agelaius phoeniceus,Red-winged blackbird,Tami,Female,2021-11-17,20,false
Toronto Zoo,Cereopsis novaehollandiae,"Goose, cereopsis",Leandra,Female,2023-08-13,36,true
Toronto Zoo,Colobus guerza,Black and white colobus,Anastasie,Female,2021-02-08,58,true
Toronto Zoo,Marmota caligata,Hoary marmot,Rianon,Female,2022-03-30,70,true
Edmonton Zoo,Ourebia ourebi,Oribi,Rourke,Male,2022-10-30,58,false
Washington Zoo,Haematopus ater,Black curlew,Ayn,Female,2024-01-06,61,true
Toronto Zoo,Gyps bengalensis,"Vulture, bengal",Manfred,Male,2020-12-14,56,false
Edmonton Zoo,Tachybaptus ruficollis,Little grebe,Cyrill,Male,2022-06-23,80,true
Toronto Zoo,Eumetopias jubatus,"Lion, steller sea",Livvy,Female,2022-07-24,67,false
Vancouver Zoo,Coluber constrictor,Racer snake,Clara,Female,2022-08-08,58,false
Toronto Zoo,Pteronura brasiliensis,"Otter, giant",Linnea,Female,2023-02-22,34,false
Toronto Zoo,Xerus sp.,African ground squirrel (unidentified),Pavla,Female,2021-09-06,61,true
Edmonton Zoo,Hymenolaimus malacorhynchus,"Duck, mountain",Hallie,Female,2022-01-12,55,true
Edmonton Zoo,Pelecanus occidentalis,"Pelican, brown",Fax,Male,2021-02-26,22,false
Edmonton Zoo,Ciconia episcopus,"Stork, woolly-necked",Melania,Female,2024-03-17,53,true
Vancouver Zoo,Sarcophilus harrisii,Tasmanian devil,Latashia,Female,2023-08-10,60,false
Toronto Zoo,Lycaon pictus,"Dog, african wild",Esmaria,Female,2023-07-02,73,true
Vancouver Zoo,Varanus komodensis,"Dragon, komodo",Lonny,Male,2023-06-23,51,false
Vancouver Zoo,Eumetopias jubatus,Steller sea lion,Monika,Female,2022-01-15,59,false
Toronto Zoo,Nectarinia chalybea,Lesser double-collared sunbird,Rae,Female,2022-06-04,70,true
Edmonton Zoo,Phalacrocorax carbo,"Cormorant, large",Rolland,Male,2022-08-30,74,false
Toronto Zoo,Haliaeetus leucoryphus,"Eagle, pallas's fish",Reade,Male,2022-08-18,46,false
Washington Zoo,Chlidonias leucopterus,"Tern, white-winged black",Dan,Male,2021-02-28,26,false
Washington Zoo,Spermophilus tridecemlineatus,Thirteen-lined squirrel,Verna,Female,2023-10-04,56,false
Vancouver Zoo,Pavo cristatus,"Peacock, blue",Vally,Female,2023-02-24,26,true
Washington Zoo,Laniarius ferrugineus,Common boubou shrike,Donn,Male,2022-02-25,57,false
Vancouver Zoo,Climacteris melanura,Black-tailed tree creeper,Emelyne,Female,2024-03-19,45,false
Edmonton Zoo,Sagittarius serpentarius,Secretary bird,Virginia,Female,2020-12-18,71,false
Toronto Zoo,Eolophus roseicapillus,"Cockatoo, roseate",Victoria,Female,2022-06-03,65,true
Edmonton Zoo,Bucephala clangula,Barrows goldeneye,Rocky,Male,2021-05-05,19,false
Vancouver Zoo,Phasianus colchicus,"Pheasant, common",Janette,Female,2021-05-15,45,false
Toronto Zoo,Tragelaphus scriptus,Bushbuck,Karon,Female,2024-01-26,34,true
Toronto Zoo,Fratercula corniculata,Horned puffin,Ava,Female,2022-02-12,54,false
Washington Zoo,Falco peregrinus,Peregrine falcon,Margaret,Female,2022-07-11,20,false
Toronto Zoo,Marmota monax,Woodchuck,Novelia,Female,2023-01-24,61,true
Vancouver Zoo,Loxodonta africana,"Elephant, african",Julia,Female,2023-07-10,31,true
Toronto Zoo,Laniarius ferrugineus,"Boubou, southern",Corty,Male,2021-03-28,29,false
Vancouver Zoo,Echimys chrysurus,"Rat, arboral spiny",Christopher,Male,2020-12-31,36,true
Toronto Zoo,Phoca vitulina,"Seal, harbor",Arlena,Female,2023-10-10,78,false
Toronto Zoo,Tamandua tetradactyla,Southern tamandua,Rachael,Female,2021-05-23,53,false
Toronto Zoo,unavailable,Caracara (unidentified),Olia,Female,2021-01-20,76,false
Edmonton Zoo,Boa constrictor mexicana,Mexican boa,Arlen,Female,2022-08-21,69,true
Vancouver Zoo,Numida meleagris,Helmeted guinea fowl,Reagan,Male,2022-12-12,37,true
Washington Zoo,Boa constrictor mexicana,Mexican boa,Aldis,Male,2023-05-10,37,false
Edmonton Zoo,Colobus guerza,Magistrate black colobus,Benedick,Male,2021-08-15,46,true
Toronto Zoo,Litrocranius walleri,Gerenuk,Toddie,Male,2022-01-20,31,true
Edmonton Zoo,Camelus dromedarius,"Camel, dromedary",Cathyleen,Female,2021-02-10,69,true
Washington Zoo,Elephas maximus bengalensis,"Elephant, asian",Hermina,Female,2021-04-28,50,true
Vancouver Zoo,Alcelaphus buselaphus cokii,Kongoni,Agnella,Female,2021-04-07,64,true
Washington Zoo,Oxybelis sp.,Vine snake (unidentified),Sybila,Female,2022-08-27,30,true
Edmonton Zoo,Papio cynocephalus,Savanna baboon,Yvor,Male,2023-05-25,44,true
Toronto Zoo,Psophia viridis,Green-winged trumpeter,Mina,Female,2021-12-30,22,false
Washington Zoo,Globicephala melas,Long-finned pilot whale,Budd,Male,2021-04-04,76,false
Washington Zoo,Papio cynocephalus,"Baboon, savanna",Juliane,Female,2023-02-21,28,true
Toronto Zoo,unavailable,Herring gull,Wait,Male,2021-11-22,60,true
Vancouver Zoo,Hystrix cristata,"Porcupine, crested",Gerri,Female,2022-11-14,36,false
Washington Zoo,Eudyptula minor,"Penguin, fairy",Larry,Male,2021-12-23,40,false
